0.000,0.017,0.017,0.017,0.017

lap,curlap_loadbatch,alllaps_loadbatch,curlap_saveparams,alllaps_saveparams,curlap_total,alllaps_total
1.000,0.000,0.000,0.044,0.061,0.044,0.061

2.000,0.000,0.000,0.015,0.077,0.015,0.077

3.000,0.000,0.000,0.000,0.077,0.000,0.077

4.000,0.000,0.000,0.010,0.087,0.010,0.087

5.000,0.000,0.000,0.010,0.097,0.010,0.097

6.000,0.000,0.000,0.000,0.097,0.000,0.097

7.000,0.000,0.000,0.000,0.097,0.000,0.097

8.000,0.000,0.000,0.009,0.106,0.009,0.106

9.000,0.000,0.000,0.000,0.106,0.000,0.106

10.000,0.000,0.000,0.010,0.116,0.010,0.116

11.000,0.000,0.000,0.000,0.116,0.000,0.116

12.000,0.000,0.000,0.000,0.116,0.000,0.116

13.000,0.000,0.000,0.000,0.116,0.000,0.116

14.000,0.000,0.000,0.000,0.116,0.000,0.116

15.000,0.000,0.000,0.009,0.125,0.009,0.125

16.000,0.000,0.000,0.000,0.125,0.000,0.125

17.000,0.000,0.000,0.000,0.125,0.000,0.125

18.000,0.000,0.000,0.000,0.125,0.000,0.125

19.000,0.000,0.000,0.000,0.125,0.000,0.125

20.000,0.000,0.000,0.010,0.135,0.010,0.135

21.000,0.000,0.000,0.000,0.135,0.000,0.135

22.000,0.000,0.000,0.000,0.135,0.000,0.135

23.000,0.000,0.000,0.000,0.135,0.000,0.135

24.000,0.000,0.000,0.000,0.135,0.000,0.135

25.000,0.000,0.000,0.010,0.145,0.010,0.145

26.000,0.000,0.000,0.000,0.145,0.000,0.145

27.000,0.000,0.000,0.000,0.145,0.000,0.145

28.000,0.000,0.000,0.000,0.145,0.000,0.145

29.000,0.000,0.000,0.000,0.145,0.000,0.145

